objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,identifier,type,format,rights,rightsstatement
tfc_goth_001,https://digital.library.unt.edu/ark:/67531/metadc1637411/m1/1/high_res/,,,Mourning Dress,Unknown,1895,"Black mourning dress made of silk and lace. The garment reflects visual characteristics commonly associated with Goth aesthetics such as dark color palette and themes of Victorian mourning/romanticism.  If you want to find more Goth clothing in the Texas Fashion Collection, check the About page for visual/material clues and search strategies.",Goth;,UNT Digital Library,ark:/67531/metadc1637411,Image;StillImage,image/jpeg,Courtesy of UNT Texas Fashion Collection,https://creativecommons.org/licenses/by-nc-nd/4.0/
tfc_westernwear_002,https://digital.library.unt.edu/ark:/67531/metadc2540289/m1/1/high_res/,,,Western Ensemble,Westerns by Missie,1937,"This ensemble consisting of a shirt and matching pants features characteristic pointed yokes and fringe, which became an iconic marker of emerging femininity in American Westernwear. Elaborate white floral appliqué enhances the visual appeal, reflecting the trend toward highly stylized fashion rather than practical frontier workwear. If you want to find more Western clothing in the Texas Fashion Collection, check the About page for visual/material clues and search strategies.",Western;,UNT Digital Library,ark:/67531/metadc2540289,Image;StillImage,image/jpeg,Courtesy of UNT Texas Fashion Collection,https://creativecommons.org/licenses/by-nc-nd/4.0/
tfc_y2k_003,https://digital.library.unt.edu/ark:/67531/metadc1944559/m1/11/high_res/,,,Denim Miniskirt,Todd Oldham,1993,"Cotton denim mini skirt that features double leather buckle closures and a low-rise silhouette, emblematic of the Y2K glamour and pop-star vibes of the early 2000s. The use of dark denim and hardware details reflects this era's fascination with retro elements and a freestyle approach to styling.",Y2K;,UNT Digital Library,ark:/67531/metadc1944559,Image;StillImage,image/jpeg,Courtesy of UNT Texas Fashion Collection,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll004,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,